task_id,attempt,benchmark,benchmark_version,repo,repo_label,language,agent,model_version,condition,status,runtime_sec,token_input,token_output,estimated_cost,cache_creation_input_tokens,cache_read_input_tokens,cache_creation_ephemeral_5m_input_tokens,cache_creation_ephemeral_1h_input_tokens,bedrock_quota_tokens,bedrock_cost_usd,tool_calls,shell_commands,file_reads,search_actions,files_edited,patch_size,first_file_opened,first_file_edited,first_test_command,bitloops_context_tokens,evaluator_result
astral-sh__ruff-15309,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,238.851,43,8079,1.0744321500000003,37996,1133293,37996,0,78434,1.0063115,55,,,0,3,4605,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15330,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,270.95,15,12558,0.77395615,40067,379852,40067,0,102872,0.75436975,20,,,0,3,3815,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15356,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,232.719,17,6865,0.9558206000000001,55265,621066,55265,0,89607,0.82764925,39,,,0,2,1905,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15394,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,182.836,391,8663,0.7268142999999999,36027,510708,36027,0,79733,0.69905275,27,,,0,3,5517,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
astral-sh__ruff-15443,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,113.762,279,4484,0.47561475000000003,19837,476277,19837,0,42536,0.47561475,25,,,0,4,2975,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15543,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,146.974,18,4244,0.5470255500000001,25202,437219,25202,0,46440,0.48231199999999996,29,,,0,3,3161,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15626,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,122.499,14,3699,0.44346854999999996,20178,273634,20178,0,38687,0.3554745,35,,,0,3,5229,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
burntsushi__ripgrep-2209,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,burntsushi/ripgrep,burntsushi,burntsushi,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,378.526,33,11117,1.1253117,27774,802846,27774,0,83392,0.8531005,70,,,0,2,1742,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
burntsushi__ripgrep-2576,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,burntsushi/ripgrep,burntsushi,burntsushi,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,317.71,60,14091,1.0418532500000002,39587,883719,39587,0,110102,1.04185325,26,,,0,2,1635,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
nushell__nushell-12901,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,nushell/nushell,nushell,nushell,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,122.259,73,3600,0.4919586000000002,20451,384470,20451,0,38524,0.41041875,34,,,0,4,2104,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
nushell__nushell-12950,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,nushell/nushell,nushell,nushell,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,19.405,6,680,0.1651315,17646,75628,17646,0,21052,0.16513150000000004,3,,,0,1,765,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
nushell__nushell-13246,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,nushell/nushell,nushell,nushell,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,28.408,73,1219,0.210622,19302,118289,19302,0,25470,0.210622,6,,,0,2,1580,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
nushell__nushell-13605,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,nushell/nushell,nushell,nushell,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,264.485,32,7008,0.6703132499999999,22291,711269,22291,0,57363,0.67031325,30,,,0,2,3606,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
nushell__nushell-13831,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,nushell/nushell,nushell,nushell,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,65.349,12,2807,0.3195553,19173,200670,19173,0,33220,0.29040125,20,,,0,1,3354,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
sharkdp__bat-1892,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,370.993,2754,14973,1.9392266500000002,56064,2242433,56064,0,133683,1.8597114999999997,64,,,0,6,6502,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
sharkdp__bat-2201,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,269.562,3,22,0.73678285,443,32061,443,0,556,0.019364249999999996,38,,,0,2,4636,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
sharkdp__bat-2260,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,130.894,56,4352,0.6218422499999999,31375,633337,31375,0,53191,0.62184225,22,,,0,2,1880,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
sharkdp__bat-2393,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,50.947,14,2482,0.24844075000000002,12631,214754,12631,0,25055,0.24844075,12,,,0,3,2798,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
sharkdp__bat-2650,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,37.501,11,1336,0.23214725,18421,167122,18421,0,25112,0.23214724999999997,8,,,0,1,518,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
sharkdp__bat-2835,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,172.877,149,5792,0.62011375,30459,568400,30459,0,59568,0.62011375,25,,,0,2,4066,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
sharkdp__bat-3108,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,183.098,19,5462,0.52995885,19717,374801,19717,0,47046,0.44727675,35,,,0,2,4917,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
