task_id,attempt,benchmark,benchmark_version,repo,repo_label,language,agent,model_version,condition,status,runtime_sec,token_input,token_output,estimated_cost,cache_creation_input_tokens,cache_read_input_tokens,cache_creation_ephemeral_5m_input_tokens,cache_creation_ephemeral_1h_input_tokens,bedrock_quota_tokens,bedrock_cost_usd,tool_calls,shell_commands,file_reads,search_actions,files_edited,patch_size,first_file_opened,first_file_edited,first_test_command,bitloops_context_tokens,evaluator_result
astral-sh__ruff-15309,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,357.513,625,6640,0.75533355,32790,695841,32790,0,66615,0.721983,35,,,0,3,5003,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15330,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,370.825,733,7651,0.58982055,34337,317084,34337,0,73325,0.56808825,18,,,0,3,4288,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15356,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,327.42,51,4797,0.63903485,43185,424899,43185,0,67221,0.6025357499999999,23,,,0,2,1878,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15394,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,unsolved,370.226,388,7702,0.6123538,29504,422782,29504,0,68402,0.5902810000000001,21,,,0,3,5030,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
astral-sh__ruff-15443,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,272.337,55,3926,0.44596500000000006,19350,453205,19350,0,39035,0.445965,23,,,0,4,3332,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15543,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,407.519,29,8357,1.02129655,41880,947234,41880,0,83694,0.944437,39,,,0,3,2860,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15626,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,astral-sh/ruff,astral-sh,astral-sh,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,292.897,17,4058,0.48794879999999996,23064,375463,23064,0,43371,0.4334165,31,,,0,3,5160,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
burntsushi__ripgrep-2209,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,burntsushi/ripgrep,burntsushi,burntsushi,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,260.906,96,9441,0.9638338,26216,751104,26216,0,73517,0.775907,54,,,0,2,3465,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
burntsushi__ripgrep-2576,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,burntsushi/ripgrep,burntsushi,burntsushi,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,163.133,79,7936,0.5867205,30960,388851,30960,0,70719,0.5867205,14,,,0,2,1704,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
nushell__nushell-12901,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,nushell/nushell,nushell,nushell,claude_code,eu.anthropic.claude-opus-4-6-v1,with_bitloops,solved,224.82,1263,2086,0.5946095499999999,17669,183976,17669,0,29362,0.26088425000000004,60,,,0,2,1023,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
